c1,c2,clase
-57574054.47268383,1.1423459887755203,oaxaca
-57573933.0513332,1.1665379855039757,oaxaca
-71967060.20046732,1.0967118189293257,oaxaca
-64770357.955412686,1.1966229774568218,oaxaca
-61172449.500375494,1.0231165306001284,oaxaca
-61172214.443265215,1.1826205835908157,oaxaca
-64770737.355221555,1.0812689083769922,oaxaca
-61172867.56108517,0.9262645714027001,oaxaca
-61172732.02326611,0.9684939668161979,oaxaca
-61172087.13271405,1.0713845977248624,oaxaca
-71967150.45272508,1.1721161792710821,oaxaca
-57574607.89759996,0.9752626482333662,oaxaca
-61172655.73459811,1.1432658970970886,oaxaca
-57574207.56518194,1.05654596599051,oaxaca
-64770873.97194378,1.0433958960927843,oaxaca
-64770310.061900295,1.1207863370491438,oaxaca
-61172700.19369948,1.1419820508694738,oaxaca
-61172854.50102965,0.903900587991348,oaxaca
-61172725.37167006,1.0783777849582528,oaxaca
-71966809.11427471,1.2189756045252704,oaxaca
-46778826.647581965,1.362874667643697,michi
-57573401.53828638,1.5023454868634938,michi
-50377388.12953756,1.483801826943681,michi
-61171984.548127845,1.3703675303532226,michi
-50377358.1554263,1.5155014102824396,michi
-57573818.93124721,1.3718119462281895,michi
-57573637.58508939,1.4420435901932205,michi
-57573815.801252194,1.4166529966821308,michi
-57573453.842969015,1.466006823712326,michi
-46778591.75625333,1.6316684632532312,michi
-64769980.64667089,1.4238201728785171,michi
-50377153.90982129,1.3868758108904484,michi
-50377114.035084106,1.4362874796707041,michi
-46778925.61450547,1.4527947172985507,michi
-57573483.15311572,1.4963244020843265,michi
-53975595.14854826,1.3602914044252667,michi
-57573406.33677117,1.490238127251171,michi
-53975457.22334583,1.461689461394506,michi
-64770280.85722107,1.3883812164171032,michi
-53975320.106157735,1.3346501325405904,michi
-79163758.89979792,1.2991428731295047,circunscrito
-79163413.04331464,1.2838587768501344,circunscrito
-79163293.66893597,1.2900408304282527,circunscrito
-75564880.6566248,1.2939496164995257,circunscrito
-79163291.75055906,1.3372194530828894,circunscrito
-97154376.9220776,1.3743356301969922,circunscrito
-86360176.9234466,1.28919505018904,circunscrito
-86360018.18920335,1.327403032256836,circunscrito
-79163128.54142751,1.3210445938825723,circunscrito
-89958086.97380334,1.3407633866995934,circunscrito
-79163609.05706054,1.266731096433663,circunscrito
-79163505.50779966,1.3236688534085193,circunscrito
-82761747.68199459,1.3650071671290882,circunscrito
-86359801.29574957,1.285945008669092,circunscrito
-79163363.21911144,1.2714932067031717,circunscrito
-93556481.58629534,1.352715093023734,circunscrito
-86360171.62348528,1.2925928356381542,circunscrito
-86360041.11792813,1.3196222076540813,circunscrito
-89958609.86397064,1.1991668928066173,circunscrito
-82761718.82195358,1.2019767556523815,circunscrito
